name,feed,audio,video,last
bulwark,https://podcast.thebulwark.com/rss,/home/marc/Desktop/podcatcher/bulwark,/home/marc/Desktop/podcatcher/bulwark,1551120300
starthere2,http://feeds.feedburner.com/abcradio/starthere,/home/marc/Desktop/podcatcher/starthere,/home/marc/Desktop/podcatcher/starthere,1552555827
